"created_at","id","text"
"Sun Feb 22 08:18:25 +0000 2026","tweet-2025485313192460506","kaya pagod na pagod ako kapag nanonood ng live eh kasi pinapanood ko rin men's vb haha laging inaabot ng gabi"
"Sun Feb 22 08:15:53 +0000 2026","tweet-2025484675926680019","Tang ina talaga ng thinking ni Sergio wahaha this is the Taks Fujimoto effect, 8 point lead ng kalaban wahah jusko kahit may lagnat si Cortez siya pa din ipapasok ko kesa kay Taks chareng wahaha #UAAPSeason88"
"Sun Feb 22 07:34:19 +0000 2026","tweet-2025474215110115838","pagod na pagod na ako."
"Sun Feb 22 07:27:44 +0000 2026","tweet-2025472559085748351","kung ganito mag checheck ng lagnat ko baka mas piliin ko na lang wag gumaling"
"Sun Feb 22 07:21:02 +0000 2026","tweet-2025470873680183369","Tangina, pagod na pagod na ako. Di na natapos tapos."
"Sun Feb 22 07:09:40 +0000 2026","tweet-2025468011851940164","アルーナもフロストも飛んでこないタンクは何をなさってる方なの？サブキャラ？"
"Sun Feb 22 06:31:35 +0000 2026","tweet-2025458431097012257","@heathluvr Pagod na pagod na ako makipag away sa clock app, nakakainis HAHAHAHAHAHAHAHA kasalanan ba ni Heath na ginastusan siya ng mga tita niya?"
"Sun Feb 22 06:28:51 +0000 2026","tweet-2025457743637905420","Hayst hirap may ubo tsaka sipon grrrr"
"Sun Feb 22 06:10:15 +0000 2026","tweet-2025453062807236672","grabe 'yung kilig ko palagi sa gsot na pag natapos 'yung episode pagod na pagod ako? ang likot ba naman kasing kiligin?!"
"Sun Feb 22 05:56:35 +0000 2026","tweet-2025449619669606497","Diko ata kakayanin kapag mag start mag gym si ZhangShu 😩😩 parang doble ata panghihina kung ganon 😭 pero why not? 👀"
"Sun Feb 22 05:49:18 +0000 2026","tweet-2025447787316629663","status: sore throat + lagnat"
"Sun Feb 22 05:46:46 +0000 2026","tweet-2025447149664960929","ubo, sipon, tonsillitis + paos 😭"
"Sun Feb 22 05:46:08 +0000 2026","tweet-2025446992693129276","Nakakaiyak itong part. Oh, to be loved by Knox. Tumulo pati sipon ko. Bwct talaga."
"Sun Feb 22 05:27:51 +0000 2026","tweet-2025442391516451317","Maybe it’s js me but I really really reallyyyy wanna see Milklove play sumn like Barcelona or the hows of us, I need to see that “pagod na pagod na ko” scene from them like inject it in my veins rn pls"
"Sun Feb 22 05:21:39 +0000 2026","tweet-2025440831147311229","may sipon pala siya pero pina laro sabagay peyborit hahaha.. may kakilala kasi ako na may sipon din during game pero binangko kasi ginawang oh ang isa?"
"Sun Feb 22 05:16:01 +0000 2026","tweet-2025439413032169658","or inaapoy lang ako ng lagnat? lol"
"Sun Feb 22 05:13:28 +0000 2026","tweet-2025438769177149536","@ughdrrea pwede kahit 1 hour? may lagnat yung oat oh baka di na ko umabot sa big night HAHAHAHA"
"Sun Feb 22 05:02:16 +0000 2026","tweet-2025435952731357537","Feeling ko pagod na pagod ako ket wala naman akong ginagawa"
"Sun Feb 22 04:47:37 +0000 2026","tweet-2025432267334832622","even lagnat https://t.co/jjuD1Im7DM"
"Sun Feb 22 04:37:56 +0000 2026","tweet-2025429830469300256","pagod na pagod nako mag adjust pede bang ako naman"
"Sun Feb 22 04:29:02 +0000 2026","tweet-2025427589364683214","@aiknoew Sino ba naman kasing di lala ang lagnat kung puro genshin ang inatupag from from 10am to 4am?"
"Sun Feb 22 04:12:02 +0000 2026","tweet-2025423311015215340","@mielleluvvxs Alam nya kasi malakas sya sa tao pero kung task yan tulo sipon nyan😂😂"
"Sun Feb 22 04:06:56 +0000 2026","tweet-2025422027088429301","mas mosugot pjud kog ubo ug sipon lng kaysa ma dehydrate. bwsttttt"
"Sun Feb 22 03:58:59 +0000 2026","tweet-2025420026174734502","@fatedwons may lagnat ako oomfie 😓"
"Sun Feb 22 03:52:41 +0000 2026","tweet-2025418439423394206","May sipon pa rin si Mareng Jema, sakit din sa ulo niyan ha?"
"Sun Feb 22 03:26:11 +0000 2026","tweet-2025411774087106616","letcheng sipon"
"Sun Feb 22 03:11:47 +0000 2026","tweet-2025408150338469946","@nirunno ご冥福をお祈りいたします。
ゆきちゃんはきっと、安らかに眠っていることでしょう。"
"Sun Feb 22 03:07:30 +0000 2026","tweet-2025407071630623036","@PilipinasToday_ Kayo naman. Anong oras kaya Ito nakunan? Could it possibly be na night shift si Ma’am Nurse at pagod na pagod? I am sure tinanong nya ang pasyente kung OK lang na kuhanin ang BP Nya while standing."
"Sun Feb 22 03:03:33 +0000 2026","tweet-2025406076905267301","Pagod na pagod na si nick Jonas sakin"
"Sun Feb 22 02:51:06 +0000 2026","tweet-2025402944229966086","yung sipon at ubo ko ang lala ha. hindi na ako tinantanan. 🥺"
"Sun Feb 22 02:29:42 +0000 2026","tweet-2025397559850852631","Pagod na pagod na ako maghintay sayo 😭 https://t.co/lWM1gCrFvy"
"Sun Feb 22 02:24:47 +0000 2026","tweet-2025396321239400640","pagod na pagod na si jo"
"Sun Feb 22 02:17:04 +0000 2026","tweet-2025394377754120368","Naiintindihan niyo yung isang side pero never ang side ni Ymilio. HAHAHAAHHA utak niyo,may sipon."
"Sun Feb 22 02:00:16 +0000 2026","tweet-2025390149316870526","Sipon layuan mo akoooo!!!!"
"Sun Feb 22 01:43:22 +0000 2026","tweet-2025385895545954497","tanginang sipon to ayaw mawala."
"Sun Feb 22 01:30:06 +0000 2026","tweet-2025382558524178774","Pagod na pagod na ako sa ibang low class fan ni ashtine."
"Sun Feb 22 01:27:01 +0000 2026","tweet-2025381782384984130","Day 4 ng aking lagnat"
"Sun Feb 22 00:53:48 +0000 2026","tweet-2025373423200075955","Tumaas na sa tenga ko ang sipon. 😰"
"Sun Feb 22 00:10:09 +0000 2026","tweet-2025362438280151241","pagod na kong saluhin sila every time na may kulang

pagod na kong humanap ng paraan at solusyonan lahat

pagod na pagod na ko"
