"created_at","id","text"
"Mon Feb 09 10:04:57 +0000 2026","tweet-2020801083442868230","in filipino we say friend as kaibigan.
also in filipino we say lover as 𝘬𝘢𝘪𝘣𝘪𝘨𝘢𝘯.

so i have an important question,
ano ba ako sa'yo, kaibigan o 𝘬𝘢𝘪𝘣𝘪𝘨𝘢𝘯? 
pagod na pagod na ako umasa at maghintay sa wala ang labo mo."
"Thu Feb 19 13:26:22 +0000 2026","tweet-2024475651609416085","Pagod na pagod na naman ako tas wala pa akong friends at jowa. Iyak na lang malala"
"Thu Feb 12 12:36:23 +0000 2026","tweet-2021926354057671013","Pagod na pagod na pagod na pagod na pagod na whatever na ko! ⭐️♥️"
"Thu Feb 19 10:29:14 +0000 2026","tweet-2024431072935891437","pagod na pagod na mga magulang mo sayo nak"
"Fri Feb 13 12:08:42 +0000 2026","tweet-2022281776266424380","Pagod na pagod na pagod na pagod nako 😭"
"Fri Feb 13 03:23:15 +0000 2026","tweet-2022149543715123385","kahel na langit kasi magchecheckout lang pagod na pagod na sa lyf

SHOPEE BOI MAKI 
#ShopeeXMaki @ShopeePH
#Maki @clfrnia_maki"
"Mon Feb 09 03:20:24 +0000 2026","tweet-2020699274221416654","Yesterday almost killed me.
Pagod na pagod si baccla.
Hindi na talaga kaya mag afterparty ng mga trentahin. https://t.co/KeyBe4ToP2"
"Thu Feb 19 15:58:14 +0000 2026","tweet-2024513867624431975","sa sobrang fast-paced sa audit, para akong tumanda ng 5yrs in the span of 7 months. pagod na pagod na ako. 😔"
"Mon Feb 16 04:20:34 +0000 2026","tweet-2023251132001538093","pagod na pagod na pagod na pagod https://t.co/O3ki2j3ekQ"
"Sat Feb 07 11:52:42 +0000 2026","tweet-2020103423748620625","Sana malambing ni user @bini_gwen... pagod na pagod na pagod na ako maging strong independent baby mo :(("
"Thu Feb 19 15:27:54 +0000 2026","tweet-2024506233433289120","inaantok na ako pero hindi makatulog amp dalawang oras lang tulog ko kagabi tapos ayaw pa matulog ng katawan ko kahit pagod na pagod na ako no ba yan"
"Wed Feb 18 05:10:40 +0000 2026","tweet-2023988514728083756","can we normalize shaming every dds we encounter like how the germans shame nazis pagod na pagod nako sa mga ddshits na yan"
"Tue Feb 10 16:16:37 +0000 2026","tweet-2021257004212531247","so far pagod na pagod na pagod na pagod na ako https://t.co/KQSnazUj94"
"Thu Feb 19 23:42:56 +0000 2026","tweet-2024630812612902937","pagod na pagod na mag calls, ubos na empathy ko kingenuh"
"Sat Feb 14 14:06:28 +0000 2026","tweet-2022673803625812278","PAGOD NA PAGOD NA PAGOD NA PAGOD NA AKO PREEEEEEEEE HAHAHAHAHAHAHAHAHAHA GE LABAN LANG!!"
"Thu Feb 19 08:08:15 +0000 2026","tweet-2024395593624539337","ano nga ulit kayo? HINDEEEEEEE HAHAHAHAHAHAHAHAH tapos lagnat kayo parehas next day 🫩"
"Mon Feb 16 04:41:00 +0000 2026","tweet-2023256272884363455","NAKAKA-STRESS NA. PAGOD NA PAGOD NA AQ."
